day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,rainfall,sunshine,winddirection,windspeed
1,1025.9,19.9,18.3,16.8,13.1,72,49,yes,9.3,80.0,26.3
2,1022.0,21.7,18.9,17.2,15.6,81,83,yes,0.6,50.0,15.3
3,1019.7,20.3,19.3,18.0,18.4,95,91,yes,0.0,40.0,14.2
4,1018.9,22.3,20.6,19.1,18.8,90,88,yes,1.0,50.0,16.9
5,1015.9,21.3,20.7,20.2,19.9,95,81,yes,0.0,40.0,13.7
6,1018.8,24.3,20.9,19.2,18.0,84,51,yes,7.7,20.0,14.5
7,1021.8,21.4,18.8,17.0,15.0,79,56,no,3.4,30.0,21.5
8,1020.8,21.0,18.4,16.5,14.4,78,28,no,7.7,60.0,14.3
9,1020.6,18.9,18.1,17.1,14.3,78,79,no,3.3,70.0,39.3
10,1017.5,18.5,18.0,17.2,15.5,85,91,yes,0.0,70.0,37.7
11,1016.5,20.4,18.1,16.5,16.4,90,90,yes,2.1,40.0,23.3
12,1019.9,18.5,17.3,16.1,13.7,79,86,no,0.6,20.0,23.9
13,1020.8,18.7,16.1,14.2,12.1,77,34,no,9.1,30.0,24.4
14,1019.3,17.5,16.5,15.6,12.9,79,81,yes,1.5,60.0,33.2
15,1015.4,16.1,15.1,14.5,14.6,97,97,yes,0.0,50.0,37.5
16,1013.5,17.1,16.4,15.5,15.6,95,93,yes,0.0,60.0,40.0
17,1011.5,20.6,17.8,14.8,16.1,90,79,yes,1.6,20.0,23.4
18,1017.1,17.8,15.2,11.9,11.1,76,49,no,3.9,50.0,28.4
19,1020.1,17.6,16.4,15.3,12.5,78,84,no,1.0,60.0,38.0
20,1019.6,16.8,15.5,14.8,13.9,90,92,yes,0.0,70.0,50.6
21,1017.7,17.1,16.1,15.1,15.3,95,100,yes,0.0,50.0,26.2
22,1018.9,16.2,14.1,10.3,12.9,92,100,yes,0.0,50.0,35.3
23,1027.1,10.4,8.5,7.0,3.4,70,95,yes,0.0,20.0,55.5
24,1034.6,7.1,4.9,3.1,2.2,61,96,yes,0.0,20.0,59.5
25,1032.6,10.8,7.4,4.3,3.7,46,25,no,10.1,20.0,28.7
26,1027.1,13.5,10.4,8.1,2.5,59,85,yes,0.4,20.0,21.3
27,1022.7,15.3,13.0,9.8,11.6,92,95,yes,0.2,20.0,29.6
28,1018.2,17.4,16.1,14.8,15.7,98,100,yes,0.0,60.0,28.8
29,1017.9,17.4,16.6,15.9,15.9,96,91,yes,0.2,50.0,25.0
30,1020.0,19.9,17.6,16.2,15.5,88,80,no,3.3,50.0,21.2
31,1019.9,16.2,15.7,15.3,13.4,86,93,yes,0.1,70.0,43.1
1,1022.2,15.6,12.4,10.7,11.2,93,96,yes,0.0,20.0,31.9
2,1024.4,11.2,10.4,9.4,6.8,79,94,yes,0.0,10.0,27.3
3,1023.6,14.3,12.5,10.3,8.6,77,88,yes,0.3,40.0,21.3
4,1021.8,18.8,15.2,13.3,10.9,76,45,no,9.2,40.0,9.1
5,1021.2,18.6,14.8,12.3,8.4,66,18,no,10.1,20.0,24.4
6,1024.9,17.4,13.6,11.2,0.3,39,13,no,10.2,20.0,44.7
7,1026.1,18.1,13.7,9.9,1.7,36,2,no,10.2,20.0,20.5
8,1023.9,19.6,14.8,11.6,4.3,52,0,no,10.2,40.0,16.7
9,1020.8,21.2,16.7,12.7,7.2,54,29,no,10.2,40.0,17.2
10,1017.5,17.3,16.6,15.3,9.8,64,77,yes,0.1,40.0,22.0
11,1014.9,22.4,18.8,17.2,16.4,86,80,yes,2.4,40.0,15.8
12,1013.4,21.6,19.2,17.6,18.5,95,86,yes,0.6,30.0,13.9
13,1012.5,25.9,23.1,21.3,21.1,89,76,no,3.5,200.0,10.2
14,1014.8,24.6,21.7,17.4,18.1,81,82,yes,3.9,20.0,15.3
15,1024.3,17.5,13.2,11.4,6.6,64,88,yes,0.0,20.0,33.5
16,1025.4,15.1,12.8,10.9,6.0,63,89,no,0.7,20.0,23.5
17,1024.1,14.4,12.9,11.6,8.9,77,91,yes,0.0,20.0,19.2
18,1021.9,15.0,13.7,11.7,11.8,89,95,yes,0.0,40.0,18.6
19,1020.3,16.3,15.3,14.6,13.3,88,94,yes,0.0,40.0,22.2
20,1023.2,20.1,16.0,12.5,9.6,67,55,yes,5.9,20.0,23.9
21,1022.2,15.9,15.0,14.7,11.0,77,82,yes,0.0,70.0,44.7
22,1020.6,17.6,16.1,14.6,14.7,91,88,yes,0.3,50.0,24.4
23,1022.3,16.7,15.5,13.7,14.3,92,88,yes,0.0,20.0,19.3
24,1027.5,15.5,13.7,12.3,10.0,78,88,yes,0.0,20.0,28.0
25,1028.9,16.8,14.8,13.5,10.5,76,87,no,0.1,20.0,20.4
26,1027.4,17.6,15.2,14.0,11.6,79,88,yes,0.2,30.0,15.2
27,1024.7,17.5,15.5,13.8,11.7,79,79,yes,5.0,20.0,9.1
28,1023.8,20.9,16.6,13.3,11.5,72,49,no,9.5,20.0,9.2
29,1024.4,24.8,18.5,14.4,10.1,61,19,no,10.7,40.0,16.9
1,1024.7,19.7,16.5,14.6,11.5,73,43,no,9.9,70.0,34.2
2,1023.8,20.6,16.6,14.4,11.4,72,32,no,10.6,60.0,27.1
3,1020.9,23.8,18.7,15.4,14.0,75,46,no,10.0,40.0,14.7
4,1018.1,23.2,20.2,18.1,16.9,82,71,no,3.0,40.0,15.4
5,1016.7,23.1,20.8,19.2,16.9,79,83,yes,0.5,30.0,13.3
6,1015.8,25.9,21.8,19.2,18.0,79,72,no,7.6,220.0,6.6
7,1014.9,21.3,19.7,18.9,18.2,91,76,yes,0.0,40.0,13.8
8,1012.5,21.5,20.1,18.9,18.9,93,88,no,0.3,40.0,15.3
9,1012.5,22.9,20.8,17.1,19.9,95,88,yes,0.6,50.0,15.1
10,1019.5,17.2,13.4,10.0,12.2,93,93,yes,0.0,20.0,39.7
11,1022.6,14.3,11.9,10.0,8.0,77,93,yes,0.0,20.0,25.0
12,1017.7,14.5,13.6,12.7,11.4,87,100,yes,0.0,50.0,36.0
13,1014.5,17.0,15.8,14.4,15.1,96,99,yes,0.0,50.0,22.8
14,1018.0,16.5,15.3,14.2,12.4,83,89,yes,1.1,20.0,26.7
15,1017.1,15.5,14.8,14.0,11.1,79,94,yes,0.0,70.0,38.0
16,1015.0,16.3,15.3,14.1,13.6,90,100,yes,0.0,60.0,33.2
17,1014.3,17.4,16.5,15.6,16.0,97,97,yes,0.0,50.0,26.5
18,1012.0,21.9,19.5,17.2,19.0,97,92,yes,0.1,30.0,13.1
19,1013.0,24.9,22.4,20.3,21.4,94,85,yes,1.5,40.0,12.5
20,1014.7,23.1,19.0,17.6,17.4,91,96,yes,0.0,50.0,28.0
21,1014.8,18.2,17.1,16.4,16.3,95,95,yes,0.1,60.0,38.3
22,1013.4,17.3,16.6,15.9,16.0,96,100,yes,0.0,50.0,33.5
23,1012.8,20.6,18.4,17.1,18.0,97,95,yes,0.6,40.0,22.0
24,1020.2,17.7,15.3,12.7,14.9,98,99,yes,0.0,70.0,42.0
25,1023.9,15.7,13.7,11.6,9.2,75,88,yes,0.2,20.0,19.4
26,1023.6,20.2,15.8,12.6,9.8,68,22,no,11.1,70.0,13.4
27,1024.1,22.4,17.3,14.6,8.4,58,19,no,11.1,30.0,14.6
28,1024.1,19.9,16.9,15.2,10.0,65,58,no,5.6,60.0,26.9
29,1021.4,19.4,17.7,15.7,9.6,59,74,yes,2.4,50.0,20.5
